"X","State","Region","HDI","InfantMortalityRate","CVDeathRate","DrugDeathRate","MotorDeathRate","CancerDeathRate","Obesity","Smoking","Exercise","Seatbelt","FluVaccination","ChildVaccination","Under18","Over65"
1,"Alabama","South","Bottom ten",8.7,229.7,15.7,17.5,175.6,35.7,21.5,45.4,95.7,43.9,70.6,22.8,15.3
2,"Alaska","West","Middle",6.7,154.1,16,8.8,159.8,31.4,19,55.3,88.4,39.1,66.3,25.3,9.4
3,"Arizona","West","Middle",6.1,138.8,19,13.1,141.3,29,14.7,51.9,87.2,41.8,72.3,24.1,15.9
4,"Arkansas","South","Bottom ten",7.5,223.2,13.8,17.8,185.4,35.7,23.6,41.2,74.4,46.2,66.6,23.8,15.7
5,"California","West","Middle",4.3,145.6,11.3,8.1,142.8,25,11,56.3,97.1,48,75,23.6,12.9
6,"Colorado","West","Top ten",4.8,128.4,15.4,10,134.4,22.3,15.6,60.4,82.4,49.9,75.4,23.3,12.7
7,"Connecticut","Northeast","Top ten",4.8,147.8,22.1,7.4,146.2,26,13.4,50.9,85.1,52.7,80.6,21.6,15.5
8,"Delaware","Northeast","Middle",6.7,165.2,22,13.3,165.6,30.7,17.7,49.7,91.9,51.2,79.3,21.8,16.4
9,"Florida","South","Middle",6.1,149.8,16.2,14.5,150.6,27.4,15.5,50.2,88.8,43.3,66.6,20.4,19.1
10,"Georgia","South","Middle",7.5,180.2,12.7,14,163,31.4,17.9,50.8,97.3,42.8,75.6,24.7,12.4
11,"Hawaii","West","Top ten",4.5,135.6,11.3,6.6,135.3,23.8,13,60.2,93.5,49.2,73.8,21.7,16.1
12,"Idaho","West","Middle",5.3,156.4,14.2,13.1,153.6,27.4,14.5,53.9,80.2,39.5,71.6,26.4,14.3
13,"Illinois","Midwest","Middle",6.6,171.5,14.1,7.8,167.6,31.6,15.8,52.4,94.1,41.8,70.8,23.2,13.9
14,"Indiana","Midwest","Middle",7.1,182.3,19.5,12.4,176.3,32.5,21.1,44.1,90.2,43.6,74.7,24,14.3
15,"Iowa","Midwest","Middle",4.8,160.9,10.3,10.2,164.1,32,16.7,47,92.8,51.3,77.9,23.4,15.8
16,"Kansas","Midwest","Middle",6.2,158.5,11.8,12.2,164.6,31.2,17.2,49.1,85.7,43.9,75.2,24.9,14.3
17,"Kentucky","South","Bottom ten",7.1,197.8,29.9,17.2,195.9,34.2,24.5,46,86.1,45,73,22.9,14.8
18,"Louisiana","South","Bottom ten",7.5,212.1,19,15.5,180.2,35.5,22.8,45.2,84.1,41.6,70.8,23.9,13.6
19,"Maine","Northeast","Middle",6.6,157.3,21.2,11.7,178,29.9,19.8,53.6,85,49.9,71.8,19.5,18.3
20,"Maryland","South","Middle",6.5,169.3,20.9,8.5,155,29.9,13.7,48.6,92.1,53.5,76.8,22.6,13.8
21,"Massachusetts","Northeast","Top ten",4.3,138.5,25.7,4.5,152.9,23.6,13.6,54.5,76.6,50.3,78.5,20.6,15.1
22,"Michigan","Midwest","Middle",6.5,198.9,20.4,9.7,168,32.5,20.4,53.1,93.3,44.2,67.6,22.4,15.4
23,"Minnesota","Midwest","Top ten",5,116.6,10.6,7.5,153,27.8,15.2,52.7,94.7,51.7,73.2,23.5,14.3
24,"Mississippi","South","Bottom ten",8.2,240.5,12.3,22.6,188.4,37.3,22.7,37.4,78.3,40.1,70.6,24.4,14.3
25,"Missouri","Midwest","Middle",6.1,197.9,17.9,14.3,173.4,31.7,22.1,48.7,78.8,46.4,71,23,15.4
26,"Montana","West","Middle",5.8,155.8,13.8,21.7,156.9,25.5,18.5,57.8,74,42.2,68.1,22,16.7
27,"Nebraska","Midwest","Middle",5.1,154.5,6.9,13,157.8,32,17,50.1,79,52.3,73.8,24.8,14.4
28,"Nevada","West","Middle",5.5,200.9,20.4,11.2,157.2,25.8,16.5,53.6,94,36.1,71.3,23.4,14.2
29,"New Hampshire","Northeast","Top ten",4.4,149,34.3,8.6,161.3,26.6,18,55.4,70.4,50.4,74.1,20.1,15.9
30,"New Jersey","Northeast","Top ten",4.4,166.7,16.3,6.3,150.8,27.4,14,50.5,87.6,49.1,76.5,22.5,14.7
31,"New Mexico","West","Bottom ten",5.2,142.4,25.3,14.3,143.3,28.3,16.6,55,92.1,49.2,70.1,24.1,15.3
32,"New York","Northeast","Top ten",4.6,181.6,13.6,5.7,148.4,25.5,14.2,47.3,90.6,49.8,71.9,21.4,14.7
33,"North Carolina","South","Middle",7.1,162.4,15.8,13.7,164.7,31.8,17.9,48.6,90.6,50.8,76.4,23,14.7
34,"North Dakota","Midwest","Top ten",5.1,142.4,8.6,17.3,152.9,31.9,19.8,45.3,81,46.9,80.2,22.8,14.2
35,"Ohio","Midwest","Middle",6.9,191.7,29.9,9.6,175.1,31.5,22.5,49.5,85,46.6,68.3,22.8,15.5
36,"Oklahoma","South","Bottom ten",8.2,234,19,16.4,184.3,32.8,19.6,43.9,86.3,47.2,75.4,24.6,14.5
37,"Oregon","West","Middle",5.1,136.1,12,11.1,160.2,28.7,16.2,64.1,97.8,40,67.4,21.6,16
38,"Pennsylvania","Northeast","Middle",5.9,177.8,26.3,9.4,167.2,30.3,18,47.8,83.6,53.3,72.8,21.1,16.7
39,"Rhode Island","Northeast","Middle",4.4,160.4,28.2,4.3,163.1,26.6,14.4,49.1,87.4,55.4,77.2,20.2,15.7
40,"South Carolina","South","Bottom ten",6.4,177.8,15.7,20,166.6,32.3,20,49.1,90,47.4,68.2,22.4,15.8
41,"South Dakota","Midwest","Middle",5.7,150.9,8.4,15.5,154,29.6,18.1,53.7,68.9,53.9,75.6,24.7,15.3
42,"Tennessee","South","Bottom ten",6.9,207.3,22.2,14.5,180.5,34.8,22.1,37.7,87.7,43.9,70.1,22.8,15.1
43,"Texas","South","Middle",5.8,171.6,9.4,12.8,149.2,33.7,14.3,42.1,90.7,43.5,71.2,26.4,11.5
44,"Utah","West","Middle",4.9,152.9,23.4,9.2,125.2,25.4,8.8,55.3,83.4,43.4,68.1,30.7,10
45,"Vermont","Northeast","Middle",4.6,152.5,16.7,9.1,165.3,27.1,17,58.8,84.1,47.3,75.6,19.4,16.9
46,"Virginia","South","Middle",5.6,154.2,12.4,9,159.5,29,15.3,51.9,77.3,50.5,64.4,22.4,13.8
47,"Washington","West","Top ten",4.5,137.6,14.7,7.9,156.4,28.6,14,56.3,94.5,48.3,77.1,22.7,14.1
48,"West Virginia","South","Bottom ten",7,191.3,41.5,14.5,190.4,37.7,24.8,47.6,87.8,49.6,64.9,20.5,17.8
49,"Wisconsin","Midwest","Middle",5.7,156,15.5,9.8,159.3,30.7,17.1,53.4,84.7,43.7,68.8,22.6,15.2
50,"Wyoming","West","Middle",6.4,159.4,16.4,24.7,139.4,27.7,19,54.2,79.2,38.9,73.3,23.7,14
