"term","l_09.1","l_09.2","l_09.3","l_09.4","component","A.1","A.2","A.3","A.4","a.1","a.2","a.3","a.4","b.1","b.2","b.3","b.4"
"1",0.171002826862893,0.142352416994735,0.444227774748467,0.242416981393905,"pi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",NA,NA,NA,NA,"tau",0.82734819480575,0.0000000000000000000000000000000000000000000000000000000000000000000031460184917,0.0209720160395558,0.0294843139058117,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,"tau",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000449595935173349,0.99587732803715,0.000000000000000000000000000604573776742922,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233059919390005,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,"tau",0.0975276053362074,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174884242174776,0.763523490692888,0.29663006712975,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,"tau",0.0751241998580389,0.00412267196288868,0.215504493267554,0.673885618964438,NA,NA,NA,NA,NA,NA,NA,NA
"X1.V1.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.503495827537115,0.998477899958779,0.582155149649169,0.585432697369814,0.528245454045256,1,0.594434472632087,0.592294279885431
"X2",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.496504172462881,0.00152210004125101,0.417844850350833,0.414567302630192,0.471754545954743,0,0.405565527367908,0.407705720114573
"X1.V2.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.692218076666246,1,0.718673767719173,0.599728102132405,0.717506991364321,1,0.727086728493438,0.659847859241648
"X2.1",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.307781923333745,0,0.281326232280834,0.400271897867596,0.282493008635679,0,0.272913271506551,0.340152140758358
"X1.V3.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.985408791421008,0.00152210121906667,1,0.997999331624411,0.988744178263725,0,1,0.998203478487157
"X2.2",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.0145912085789864,0.998477898780964,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000079210360882961,0.00200066837559388,0.0112558217362727,1,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107659801209876,0.00179652151286208
"X1.V4.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.822677081206885,1,0.702584052520669,0.837389541510105,0.797043857873393,1,0.695187774680983,0.825950189658691
"X2.3",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.177322918793104,0,0.29741594747933,0.162610458489889,0.202956142126604,0,0.304812225319005,0.17404981034131
"X1.V5.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.997466815445814,1,0.997074597237981,0.980343790729386,0.968459518453301,1,0.983291024193475,0.923704192727103
"X2.4",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.00253318455418721,0,0.00292540276201104,0.0196562092706129,0.0315404815467021,0,0.0167089758065236,0.076295807272903
"X1.V6.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.382091329299702,0.242060377188438,0.0000000000280119233325981,1,0.417613073258648,0.32115648167144,0.0000000000000000000000278878944934342,1
"X2.5",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.617908670700296,0.757939622811576,0.999999999971996,0.00000000000000000000000000700535370623413,0.582386926741351,0.678843518328554,1,0.00000000000000000000000000556597788757742
"X1.V7.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.879673733622266,0.951362251137275,1,0.676536283806465,0.908331548761861,0.883681891872778,1,0.714669958474188
"X2.6",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.120326266377732,0.0486377488627311,0,0.323463716193539,0.0916684512381379,0.116318108127223,0,0.28533004152582
"X1.V8.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.998733407722908,0.960500303667048,1,0.868625781370216,1,0.964933384489851,1,0.908565996004427
"X2.7",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.0012665922770936,0.0394996963329523,0,0.131374218629783,0,0.0350666155101538,0,0.0914340039955879
"X1.V9.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.994933630891623,1,1,0.966048365805183,0.984915421868973,1,1,0.947546632499891
"X2.8",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.00506636910837442,0,0,0.0339516341948153,0.0150845781310314,0,0,0.0524533675001208
"X1.V10.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.805366017787269,0.893241633878757,1,0.659441359551946,0.850832246379087,0.928073139412213,1,0.739207216060114
"X2.9",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.194633982212725,0.106758366121257,0,0.340558640448056,0.149167753620917,0.07192686058779,0,0.260792783939887
"X1.V11.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.988599920248867,0.99695787675419,1,0.980343790738472,0.886136623293769,0.940533369421074,1,0.793329294432369
"X2.10",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.0114000797511329,0.0030421232458098,0,0.019656209261524,0.113863376706228,0.0594666305789262,0,0.206670705567635
"X1.V12.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.976327184961603,0.200306594666491,0.980985049490767,0.976913191655981,0.993143315511971,0.322144479360102,0.993417676197429,0.987253636962036
"X2.11",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.0236728150383973,0.79969340533353,0.019014950509229,0.0230868083440224,0.00685668448803794,0.677855520639897,0.00658232380256992,0.0127463630379731
"X1.V13.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.953436237504443,0.183764626423773,0.955631560133034,0.918694105430958,0.978015264837789,0.293120263021215,0.980759361192486,0.94104804129681
"X2.12",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.04656376249556,0.816235373576241,0.0443684398669579,0.0813058945690357,0.0219847351622135,0.706879736978784,0.0192406388075121,0.0589519587032054
"X1.V14.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,1,0.158967457910414,0,0,1,0.158574505089971,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000862369876051965,0
"X2.13",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.000000000000000000000000000000000000000000000000000105450986262888,0.841032542089595,1,1,0.0000000000000000000000000000000000000000000000000000047846107485695,0.841425494910031,1,1
"X1.V15.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.294715496345231,0.871943886228236,1,1,0.298547231022934,0.87090761105602,1,1
"X2.14",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.705284503654768,0.128056113771779,0,0,0.701452768977069,0.129092388943976,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402593723721135,0
"X1.V16.",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.705284503654768,0.969088655861369,1,1,0.701452768977069,0.970517883854001,1,1
"X2.15",NA,NA,NA,NA,"rho",NA,NA,NA,NA,0.294715496345231,0.0309113441386353,0,0,0.298547231022934,0.0294821161459951,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000459776152330876,0
